,cumulative_susceptible,cumulative_infected,cumulative_dead,cumulative_recovered
172,7935948688.0,5211793.0,601666.0,7116853.0
173,7935752618.0,5263029.0,606109.0,7257244.0
174,7935533169.0,5334295.0,612135.0,7399401.0
175,7935303338.0,5398400.0,618058.0,7559204.0
176,7935061290.0,5481879.0,624239.0,7711592.0
177,7934815657.0,5537112.0,631163.0,7895068.0
178,7934579702.0,5615778.0,637685.0,8045835.0
179,7934367275.0,5735319.0,642554.0,8133852.0
180,7934165078.0,5777142.0,646028.0,8290752.0
181,7933915549.0,5843175.0,652759.0,8467517.0
182,7933640733.0,5931815.0,660180.0,8646272.0
183,7933360787.0,6027668.0,666878.0,8823667.0
184,7933076280.0,6077226.0,673527.0,9051967.0
185,7932827339.0,6100215.0,679667.0,9271779.0
186,7932621977.0,6163542.0,683771.0,9409710.0
187,7932379447.0,6223781.0,689309.0,9586463.0
188,7932163443.0,6298408.0,695514.0,9721635.0
189,7931844913.0,6371630.0,702950.0,9959507.0
190,7931562606.0,6433502.0,709866.0,10173026.0
191,7931274943.0,6514844.0,716581.0,10372632.0
192,7931028158.0,6574631.0,722668.0,10553543.0
193,7930797025.0,6662370.0,727338.0,10692267.0
194,7930589679.0,6642464.0,732145.0,10914712.0
195,7930323937.0,6679712.0,739412.0,11135939.0
196,7930049105.0,6725399.0,746862.0,11357634.0
197,7929762060.0,6816186.0,754313.0,11546441.0
198,7929479166.0,6900198.0,761149.0,11738487.0
199,7929213699.0,6959366.0,767204.0,11938731.0
200,7928979784.0,7009358.0,772376.0,12117482.0
201,7928744792.0,7074846.0,777669.0,12281693.0
202,7928480529.0,7027425.0,784285.0,12586761.0
203,7928195187.0,7063929.0,791611.0,12828273.0
204,7927915803.0,7173704.0,798171.0,12991322.0
205,7927609892.0,7189803.0,804741.0,13274564.0
206,7927358216.0,7266860.0,810756.0,13443168.0
207,7927147634.0,7239711.0,815533.0,13676122.0
208,7926933810.0,7243247.0,814809.0,13887134.0
209,7926674185.0,7268234.0,821852.0,14114729.0
210,7926397599.0,7320394.0,828281.0,14332726.0
211,7926126155.0,7377608.0,834721.0,14540516.0
212,7925863586.0,7465946.0,840458.0,14709010.0
213,7925611412.0,7513655.0,845864.0,14908069.0
214,7925397834.0,7495542.0,850573.0,15135051.0
215,7925168037.0,7521113.0,855378.0,15334472.0
216,7924922512.0,7528528.0,861939.0,15566021.0
217,7924642843.0,7576029.0,868472.0,15791656.0
218,7924358569.0,7645570.0,874691.0,16000170.0
219,7924073968.0,7724760.0,880524.0,16199748.0
220,7923812450.0,7769085.0,886337.0,16411128.0
221,7923593279.0,7773791.0,890587.0,16621343.0
222,7923326017.0,7835923.0,894944.0,16822116.0
223,7923058412.0,7841643.0,901555.0,17077390.0
224,7922777312.0,7898354.0,907857.0,17295477.0
225,7922499198.0,7949011.0,913945.0,17516846.0
226,7922205877.0,8032318.0,919528.0,17721277.0
227,7921932055.0,8100514.0,924647.0,17921784.0
228,7921694733.0,8112114.0,929027.0,18143126.0
229,7921481303.0,8129649.0,938424.0,18329624.0
230,7921238154.0,8168049.0,943547.0,18529250.0
231,7920943812.0,8203195.0,950031.0,18781962.0
232,7920641313.0,8283037.0,956027.0,18998623.0
233,7920325043.0,8369647.0,962017.0,19222293.0
234,7920035879.0,8430830.0,967064.0,19445227.0
235,7919787290.0,8487633.0,971002.0,19633075.0
236,7919604070.0,8518115.0,974533.0,19782282.0
237,7919239339.0,8571216.0,982168.0,20086277.0
238,7918935440.0,8639778.0,988028.0,20315754.0
239,7918619969.0,8729402.0,993664.0,20535965.0
240,7918292878.0,8799487.0,999521.0,20787114.0
241,7917999458.0,8850622.0,1004821.0,21024099.0
242,7917744219.0,8864838.0,1008767.0,21261176.0
243,7917483960.0,8875218.0,1013168.0,21506654.0
244,7917199373.0,8935800.0,1019375.0,21724452.0
245,7916889193.0,8976084.0,1025858.0,21987865.0
246,7916567864.0,9036074.0,1031527.0,22243535.0
247,7916232765.0,9125953.0,1037539.0,22482743.0
248,7915947743.0,9143403.0,1042968.0,22744886.0
249,7915699976.0,9173463.0,1046796.0,22958765.0
250,7915436357.0,9210473.0,1050863.0,23181307.0
251,7915153476.0,9247200.0,1056978.0,23421346.0
252,7914829157.0,9316859.0,1063420.0,23669564.0
253,7914516126.0,9407847.0,1072162.0,23882865.0
254,7914178956.0,9558755.0,1077898.0,24063391.0
255,7913896223.0,9581160.0,1082625.0,24318992.0
256,7913623266.0,9627972.0,1086611.0,24541151.0
257,7913310434.0,9696289.0,1093658.0,24778619.0
258,7912994971.0,9774792.0,1099505.0,25009732.0
259,7912646882.0,9861796.0,1105399.0,25264923.0
260,7912286971.0,9995825.0,1111704.0,25484500.0
261,7911927266.0,10142447.0,1117930.0,25691357.0
262,7911572859.0,10296569.0,1122810.0,25886762.0
263,7911284721.0,10357969.0,1126908.0,26109402.0
264,7910991728.0,10446600.0,1130955.0,26309717.0
265,7910671935.0,10571745.0,1136382.0,26498938.0
266,7910290418.0,10734738.0,1142563.0,26711281.0
267,7909882480.0,10929594.0,1148724.0,26918202.0
268,7909472032.0,11130845.0,1154907.0,27121216.0
269,7909102666.0,11296267.0,1160568.0,27319499.0
270,7908772854.0,11420750.0,1164386.0,27521010.0
271,7908394998.0,11591354.0,1169107.0,27723541.0
272,7908005259.0,11766310.0,1175755.0,27931676.0
273,7907562666.0,11990831.0,1182605.0,28142898.0
274,7907086715.0,12234092.0,1188502.0,28369691.0
275,7906580241.0,12526744.0,1195590.0,28576425.0
276,7906130713.0,12758867.0,1201414.0,28788006.0
277,7905734280.0,12953004.0,1205616.0,28986100.0
278,7905292811.0,13150562.0,1211228.0,29224399.0
279,7904820630.0,13025571.0,1218695.0,29814104.0
280,7904294659.0,13281660.0,1225940.0,30076741.0
281,7903755312.0,13567090.0,1233106.0,30323492.0
282,7903185975.0,14736264.0,1241058.0,29715703.0
283,7902707036.0,14079278.0,1247667.0,30845019.0
284,7902262770.0,14260590.0,1252804.0,31102836.0
285,7901761583.0,14475372.0,1258639.0,31383406.0
286,7901241626.0,14734643.0,1267752.0,31634979.0
287,7900647645.0,15038731.0,1278326.0,31914298.0
288,7900027148.0,15346850.0,1287049.0,32217953.0
289,7899404300.0,15672196.0,1296190.0,32506314.0
290,7898811564.0,15958205.0,1303901.0,32805330.0
291,7898322685.0,16187762.0,1309983.0,33058570.0
292,7897855806.0,16390385.0,1317186.0,33315623.0
293,7897271805.0,16706883.0,1327329.0,33572983.0
294,7896644251.0,16943692.0,1337850.0,33953207.0
295,7896000648.0,17351112.0,1347794.0,34179446.0
296,7895339486.0,17700380.0,1357556.0,34481578.0
297,7894760089.0,17992906.0,1366608.0,34759397.0
298,7894283158.0,18232510.0,1373175.0,34990157.0
299,7893757032.0,18361280.0,1381098.0,35379590.0
300,7893143873.0,18528388.0,1392261.0,35814478.0
301,7892516998.0,18780809.0,1403605.0,36177588.0
302,7891862052.0,19050316.0,1414745.0,36551887.0
303,7891188444.0,19356744.0,1426501.0,36907311.0
304,7890602182.0,19594707.0,1435530.0,37246581.0
305,7890115005.0,19800729.0,1442961.0,37520305.0
306,7889580889.0,19915113.0,1451480.0,37931518.0
307,7888987844.0,20123158.0,1464301.0,38303697.0
308,7888356266.0,20305298.0,1476329.0,38741107.0
309,7887764476.0,20519170.0,1487371.0,39107983.0
310,7887070887.0,20819685.0,1498819.0,39489609.0
311,7886471908.0,21049701.0,1508076.0,39849315.0
312,7885986154.0,21209893.0,1515355.0,40167598.0
313,7885480673.0,21304154.0,1524319.0,40569854.0
314,7884856571.0,21439181.0,1537190.0,41046058.0
315,7884211432.0,21608888.0,1549696.0,41508984.0
316,7883518709.0,21862049.0,1562274.0,41935968.0
317,7882829921.0,22047764.0,1574730.0,42426585.0
318,7882183286.0,22248122.0,1585059.0,42862533.0
319,7881646235.0,22461414.0,1592774.0,43178577.0
320,7881118757.0,22567040.0,1601487.0,43591716.0
321,7880473359.0,22759229.0,1613925.0,44032487.0
322,7879805422.0,22988167.0,1626444.0,44458967.0
323,7878299781.0,23989926.0,1639100.0,44950193.0
324,7877594433.0,24204081.0,1652153.0,45428333.0
325,7876951677.0,23331144.0,1662903.0,46933276.0
326,7876416251.0,23463629.0,1670725.0,47328395.0
327,7875873208.0,23587970.0,1679893.0,47737929.0
328,7875211081.0,30277556.0,1693801.0,41696562.0
329,7874489456.0,30623246.0,1707516.0,42058782.0
330,7873746172.0,30977742.0,1720895.0,42434191.0
331,7873025058.0,31368202.0,1733821.0,42751919.0
332,7872399441.0,31631212.0,1744842.0,43103505.0
333,7871866073.0,31879696.0,1752897.0,43380334.0
334,7871316053.0,32076933.0,1762460.0,43723554.0
335,7870648167.0,32367264.0,1776830.0,44086739.0
336,7869957528.0,32720143.0,1790450.0,44410879.0
337,7869267891.0,33083293.0,1802265.0,44725551.0
338,7868770568.0,33280276.0,1810999.0,45017157.0
339,7868263954.0,33371160.0,1818565.0,45425321.0
