,cumulative_susceptible,cumulative_infected,cumulative_dead,cumulative_recovered
328,1402000000.0,73667919.0,1693801.0,41696562.0
329,1402000000.0,74389544.0,1707516.0,42058782.0
330,1402000000.0,75132828.0,1720895.0,42434191.0
331,1402000000.0,75853942.0,1733821.0,42751919.0
332,1402000000.0,76479559.0,1744842.0,43103505.0
333,1402000000.0,77012927.0,1752897.0,43380334.0
334,1402000000.0,77562947.0,1762460.0,43723554.0
335,1402000000.0,78230833.0,1776830.0,44086739.0
336,1402000000.0,78921472.0,1790450.0,44410879.0
337,1402000000.0,79611109.0,1802265.0,44725551.0
338,1402000000.0,80108432.0,1810999.0,45017157.0
339,1402000000.0,80615046.0,1818565.0,45425321.0
340,1402000000.0,81028307.0,1826308.0,45717709.0
341,1402000000.0,81529744.0,1835907.0,46016135.0
342,1402000000.0,82204893.0,1851207.0,46369230.0
343,1402000000.0,82939832.0,1866606.0,46757475.0
344,1402000000.0,83772044.0,1879842.0,47055807.0
345,1402000000.0,84352331.0,1889603.0,47359111.0
346,1402000000.0,84932642.0,1898016.0,47614296.0
347,1402000000.0,85453751.0,1905653.0,47882778.0
348,1402000000.0,86012866.0,1915704.0,48173186.0
349,1402000000.0,86760232.0,1931190.0,48488547.0
350,1402000000.0,87554224.0,1946245.0,48801672.0
351,1402000000.0,88445505.0,1961362.0,49125603.0
352,1402000000.0,89270231.0,1976748.0,49422866.0
353,1402000000.0,90026919.0,1989574.0,49753111.0
354,1402000000.0,90613954.0,1998389.0,50023661.0
355,1402000000.0,91227781.0,2008467.0,50313949.0
356,1402000000.0,91932963.0,2025848.0,50657506.0
357,1402000000.0,92682636.0,2042481.0,51023567.0
358,1402000000.0,93440494.0,2057936.0,51396412.0
359,1402000000.0,94211891.0,2072954.0,51717034.0
360,1402000000.0,94865540.0,2086654.0,52034089.0
361,1402000000.0,95391761.0,2095735.0,52349804.0
362,1402000000.0,95911013.0,2105502.0,52668557.0
363,1402000000.0,96503861.0,2122368.0,53071501.0
364,1402000000.0,97203603.0,2140108.0,53399272.0
365,1402000000.0,97860873.0,2157244.0,53765411.0
366,1402000000.0,98523969.0,2173303.0,54147168.0
367,1402000000.0,99097889.0,2187202.0,54463661.0
368,1402000000.0,99558672.0,2196383.0,54774618.0
