,cumulative_susceptible,cumulative_infected,cumulative_dead,cumulative_recovered
321,40170098.0,8314.0,1902.0,37920.0
322,40169868.0,8426.0,1908.0,38032.0
323,40169694.0,8520.0,1921.0,38099.0
324,40169481.0,8673.0,1939.0,38141.0
325,40169408.0,8677.0,1949.0,38200.0
326,40169282.0,8742.0,1960.0,38250.0
327,40168961.0,9050.0,1971.0,38252.0
328,40168750.0,9173.0,1975.0,38336.0
329,40168531.0,9227.0,2001.0,38475.0
330,40168307.0,9405.0,2017.0,38505.0
331,40168032.0,9630.0,2032.0,38540.0
332,40167778.0,9806.0,2037.0,38613.0
333,40167698.0,9476.0,2054.0,39006.0
334,40167556.0,9096.0,2074.0,39508.0
335,40167346.0,9214.0,2089.0,39585.0
336,40167164.0,9273.0,2105.0,39692.0
337,40166877.0,8872.0,2126.0,40359.0
338,40166639.0,9016.0,2135.0,40444.0
339,40166470.0,8832.0,2148.0,40784.0
340,40166386.0,8594.0,2158.0,41096.0
341,40166227.0,8396.0,2170.0,41441.0
342,40166087.0,8422.0,2182.0,41543.0
343,40165904.0,8529.0,2189.0,41612.0
344,40165904.0,8414.0,2189.0,41727.0
345,40165721.0,8585.0,2201.0,41727.0
346,40165648.0,8648.0,2211.0,41727.0
347,40165525.0,8761.0,2221.0,41727.0
348,40165325.0,8149.0,2230.0,42530.0
349,40165223.0,8108.0,2237.0,42666.0
350,40165129.0,8195.0,2244.0,42666.0
351,40165027.0,7663.0,2253.0,43291.0
352,40164902.0,7635.0,2257.0,43440.0
353,40164834.0,7396.0,2264.0,43740.0
354,40164745.0,7264.0,2277.0,43948.0
355,40164696.0,7113.0,2288.0,44137.0
356,40164650.0,6675.0,2301.0,44608.0
357,40164544.0,6532.0,2308.0,44850.0
358,40164459.0,6163.0,2314.0,45298.0
359,40164403.0,6073.0,2324.0,45434.0
360,40164296.0,6137.0,2336.0,45465.0
361,40164250.0,5777.0,2339.0,45868.0
362,40164172.0,5360.0,2343.0,46359.0
363,40164093.0,5241.0,2346.0,46554.0
364,40163956.0,5165.0,2354.0,46759.0
365,40163831.0,5153.0,2363.0,46887.0
366,40163751.0,5201.0,2370.0,46912.0
367,40163675.0,5243.0,2373.0,46943.0
368,40163639.0,4919.0,2378.0,47298.0
369,40163562.0,4922.0,2385.0,47365.0
370,40163484.0,4902.0,2389.0,47459.0
371,40163380.0,4916.0,2389.0,47549.0
372,40163343.0,4911.0,2397.0,47583.0
373,40163295.0,4934.0,2399.0,47606.0
374,40163226.0,4999.0,2400.0,47609.0
